obj,perm.obj,type,colname,cov,name,abbr
d1,d1_perm,normal,d1,"d0,sex,batch2,batch3,batch4,batch5,batch6,batch7,batch11",Weight - day 1 (g),Weight - day 1 (g)
d2,d2_perm,normal,d2,"d0,sex,batch2,batch3,batch4,batch5,batch6,batch7,batch11",Weight - day 2,Weight - day 2 (g)
d3,d3_perm,normal,d3,"d0,sex,batch2,batch3,batch4,batch5,batch6,batch7,batch11",Weight - day 3,Weight - day 3 (g)
d4,d4_perm,normal,d4,"d0,sex,batch2,batch3,batch4,batch5,batch6,batch7,batch11",Weight - day 4,Weight - day 4 (g)
aac,aac_perm,normal,weight_aac,"sex,batch2,batch3,batch4,batch5,batch6,batch7,batch11",Weight (AAC),Weight (AAC)
hs,hs_perm,np,HS,"sex,batch2,batch3,batch4,batch5,batch6,batch7,batch11",Congestion score,CS
