obj,perm.obj,type,colname,cov,name,abbr
hs,hsp,np,HS,"batch15,batch16,batch17,batch18,sex",Congestion score,CS
d1,d1p,normal,d1,"d0,batch15,batch16,batch17,batch18,sex",Weight - day 1,Weight - day 1
d2,d2p,normal,d2,"d0,batch15,batch16,batch17,batch18,sex",Weight - day 2,Weight - day 2
d3,d3p,normal,d3,"d0,batch15,batch16,batch17,batch18,sex",Weight - day 3,Weight - day 3
d4,d4p,normal,d4,"d0,batch15,batch16,batch17,batch18,sex",Weight - day 4,Weight - day 4
aac,aacp,normal,weight_aac,"batch15,batch16,batch17,batch18,sex",Weight (AAC),Weight - AAC
